id_temps,date,jour,mois,nom_mois,trimestre,annee,jour_semaine,est_weekend
20230101,2023-01-01,1,1,Janvier,1,2023,Dimanche,1
20230102,2023-01-02,2,1,Janvier,1,2023,Lundi,0
20230103,2023-01-03,3,1,Janvier,1,2023,Mardi,0
20230104,2023-01-04,4,1,Janvier,1,2023,Mercredi,0
20230105,2023-01-05,5,1,Janvier,1,2023,Jeudi,0
20230106,2023-01-06,6,1,Janvier,1,2023,Vendredi,0
20230107,2023-01-07,7,1,Janvier,1,2023,Samedi,1
20230108,2023-01-08,8,1,Janvier,1,2023,Dimanche,1
20230109,2023-01-09,9,1,Janvier,1,2023,Lundi,0
20230110,2023-01-10,10,1,Janvier,1,2023,Mardi,0
20230111,2023-01-11,11,1,Janvier,1,2023,Mercredi,0
20230112,2023-01-12,12,1,Janvier,1,2023,Jeudi,0
20230113,2023-01-13,13,1,Janvier,1,2023,Vendredi,0
20230114,2023-01-14,14,1,Janvier,1,2023,Samedi,1
20230115,2023-01-15,15,1,Janvier,1,2023,Dimanche,1
20230116,2023-01-16,16,1,Janvier,1,2023,Lundi,0
20230117,2023-01-17,17,1,Janvier,1,2023,Mardi,0
20230118,2023-01-18,18,1,Janvier,1,2023,Mercredi,0
20230119,2023-01-19,19,1,Janvier,1,2023,Jeudi,0
20230120,2023-01-20,20,1,Janvier,1,2023,Vendredi,0
20230301,2023-03-01,1,3,Mars,1,2023,Mercredi,0
20230302,2023-03-02,2,3,Mars,1,2023,Jeudi,0
20230303,2023-03-03,3,3,Mars,1,2023,Vendredi,0
20230304,2023-03-04,4,3,Mars,1,2023,Samedi,1
20230305,2023-03-05,5,3,Mars,1,2023,Dimanche,1
20230306,2023-03-06,6,3,Mars,1,2023,Lundi,0
20230307,2023-03-07,7,3,Mars,1,2023,Mardi,0
20230308,2023-03-08,8,3,Mars,1,2023,Mercredi,0
20230309,2023-03-09,9,3,Mars,1,2023,Jeudi,0
20230310,2023-03-10,10,3,Mars,1,2023,Vendredi,0
20230311,2023-03-11,11,3,Mars,1,2023,Samedi,1
